"","Genus","Species","Habitat_Forest","Habitat_Savanna","Habitat_Shrubland","Habitat_Grassland","Habitat_Wetlands","Habitat_Rocky.areas","Habitat_Desert","IUCN","Pop_T","TrophicGuild"
"226","Nomascus","concolor",1,0,0,0,0,0,0,"CR","D","Folivore_frugivore"
"227","Nomascus","gabriellae",1,0,0,0,0,0,0,"EN","D",NA
"228","Nomascus","hainanus",1,0,0,0,0,0,0,"CR","S","Frugivore"
"229","Nomascus","leucogenys",1,0,0,0,0,0,0,"CR","D","Folivore_frugivore"
"230","Nomascus","siki",1,0,0,0,0,0,0,"EN","D","Frugivore"
"231","Nycticebus","bengalensis",1,0,0,0,0,0,0,"VU","D","Gummivore"
"232","Nycticebus","coucang",1,0,0,0,0,0,0,"VU","D","Omnivore"
"233","Nycticebus","pygmaeus",1,0,0,0,0,0,0,"VU","D","Gummivore"
"234","Otolemur","crassicaudatus",1,1,1,0,0,0,0,"LC","S","Omnivore"
"235","Otolemur","garnettii",1,0,0,0,0,0,0,"LC","S",NA
"236","Pan","paniscus",1,0,0,0,0,0,0,"EN","D","Omnivore"
"237","Pan","troglodytes",1,1,0,0,0,0,0,"EN","D","Omnivore"
"238","Papio","anubis",1,1,1,1,0,0,0,"LC","I","Omnivore"
"239","Papio","cynocephalus",1,1,0,0,0,0,0,"LC","S","Omnivore"
"240","Papio","hamadryas",0,0,1,1,0,1,0,"LC","I","Omnivore"
"241","Papio","papio",1,1,0,1,0,0,0,"NT",NA,"Omnivore"
"242","Papio","ursinus",1,1,1,1,0,1,1,"LC","S","Omnivore"
"243","Perodicticus","potto",1,0,0,0,0,0,0,"LC","S","Frugivore"
"244","Phaner","electromontis",1,0,0,0,0,0,0,"EN","D","Gummivore"
"245","Phaner","furcifer",1,0,0,0,0,0,0,"VU","D",NA
"246","Phaner","pallescens",1,0,0,0,0,0,0,"EN","D","Gummivore"
"247","Phaner","parienti",1,0,0,0,0,0,0,"EN","D",NA
"248","Piliocolobus","badius",1,0,0,0,0,0,0,"EN","D","Folivore_frugivore"
"249","Piliocolobus","foai",1,0,0,0,0,0,0,"NE",NA,"Folivore_frugivore"
